                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4783,                0.64754,                 1.0748,                0.91379,                0.91206,                0.94642,                0.52796,                 1.5321,                0.62134,                 1.0445,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.4764,                0.63504,                 1.0704,                 0.9156,                0.91982,                0.95164,                0.53192,                 1.5212,                0.61919,                 1.0417,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.4719,                0.63605,                 1.0752,                0.91416,                 0.9185,                0.95022,                0.52959,                 1.5266,                0.62259,                 1.0422,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.4503,                0.62234,                 1.0705,                0.92302,                0.90893,                0.94755,                0.53075,                 1.5155,                0.62712,                 1.0372,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.4682,                0.63888,                 1.0635,                 0.9218,                0.91465,                0.95067,                0.53612,                 1.5103,                0.61736,                 1.0356,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4577,                  0.631,                  1.064,                 0.9263,                  0.913,                0.95104,                0.53021,                 1.5257,                0.62041,                 1.0407,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4483,                0.62565,                 1.0654,                0.92226,                0.91591,                 0.9516,                0.53216,                 1.5239,                0.62283,                 1.0397,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.4467,                0.62693,                 1.0665,                0.92366,                0.91743,                0.95046,                 0.5299,                 1.5257,                0.61659,                 1.0441,               0.000467,               0.000467,               0.000467
                     71,                 1.4528,                0.62405,                 1.0682,                0.92066,                0.91934,                0.95269,                0.53012,                 1.5262,                0.61912,                 1.0435,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4422,                0.62238,                 1.0622,                0.92259,                0.91685,                0.95144,                0.53053,                 1.5263,                0.62387,                 1.0436,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4436,                0.62859,                  1.063,                 0.9254,                0.91014,                0.95245,                0.53276,                 1.5253,                0.61465,                 1.0415,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4263,                0.61345,                 1.0615,                0.92228,                0.91873,                0.95321,                0.53109,                 1.5202,                0.61727,                 1.0421,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4316,                0.61596,                 1.0558,                0.91372,                0.91555,                0.94732,                0.52933,                 1.5273,                 0.6213,                 1.0414,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4342,                0.62319,                 1.0649,                0.92454,                 0.9122,                 0.9521,                0.52759,                 1.5353,                0.62255,                 1.0444,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4139,                0.61347,                 1.0546,                0.92307,                0.91704,                0.95152,                0.53143,                 1.5247,                0.61817,                 1.0438,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4295,                0.61764,                 1.0558,                0.92643,                0.91096,                0.95365,                0.53358,                 1.5304,                0.61296,                 1.0422,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.4193,                0.61281,                  1.054,                0.91584,                0.91843,                0.94953,                0.53156,                 1.5256,                0.61458,                 1.0414,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.4115,                0.60826,                 1.0496,                0.92308,                0.91674,                0.95175,                0.53339,                 1.5303,                0.61228,                 1.0442,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.4101,                0.60874,                 1.0456,                0.92353,                0.91763,                0.95356,                0.53261,                 1.5252,                0.61277,                  1.043,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.4004,                0.60382,                 1.0471,                0.92717,                0.91218,                0.95421,                0.53406,                 1.5268,                0.61057,                 1.0413,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3941,                0.60011,                 1.0446,                0.92485,                0.91284,                0.95468,                0.53455,                 1.5211,                0.60867,                 1.0411,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3958,                0.59904,                 1.0489,                0.91657,                0.91689,                0.95188,                 0.5294,                 1.5371,                0.61333,                 1.0462,             0.00026894,             0.00026894,             0.00026894
