                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.79063,                0.46111,                0.99952,                0.96799,                0.96758,                0.97778,                0.72841,                0.99127,                0.41497,                 1.1033,              0.0001211,              0.0001211,              0.0001211
                    138,                0.79719,                0.46043,                 1.0012,                0.96927,                0.96026,                0.97661,                0.72907,                0.98874,                0.41678,                 1.0994,             0.00011377,             0.00011377,             0.00011377
                    139,                0.79555,                0.45776,                0.99936,                0.96677,                0.96334,                0.97622,                0.72745,                0.99483,                0.41537,                 1.1044,             0.00010643,             0.00010643,             0.00010643
                    140,                0.79683,                0.45862,                0.99887,                0.96781,                0.96168,                0.97571,                0.72884,                0.98987,                0.41409,                 1.1018,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                0.75092,                0.33895,                0.97612,                 0.9675,                0.96711,                 0.9783,                0.72135,                0.99765,                0.41783,                 1.1048,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                0.74647,                0.33534,                0.97214,                0.96739,                0.96532,                 0.9781,                0.72212,                0.99778,                0.41774,                 1.1023,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                0.73457,                0.33041,                0.96615,                0.97107,                0.96304,                0.97865,                0.72507,                 1.0004,                0.41893,                 1.1082,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                0.73373,                0.33096,                0.96335,                0.96874,                 0.9603,                0.97613,                0.72511,                0.99781,                0.41851,                 1.1074,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.73296,                0.33275,                0.96928,                0.96659,                0.96124,                0.97603,                0.72529,                      1,                0.42097,                 1.1075,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                0.72789,                0.32636,                0.96044,                0.96966,                0.96004,                0.97571,                0.72839,                 0.9936,                0.41721,                 1.1038,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                0.72021,                0.32739,                0.96367,                0.96975,                0.96238,                0.97664,                0.72802,                0.99663,                0.41693,                 1.1065,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                0.72048,                0.32508,                 0.9569,                0.95729,                0.97147,                0.97618,                0.72737,                  0.996,                0.41758,                 1.1062,              4.044e-05,              4.044e-05,              4.044e-05
                    149,                0.71192,                0.32087,                0.95536,                 0.9633,                0.96452,                0.97589,                 0.7292,                0.99636,                0.41628,                 1.1065,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    150,                0.71192,                0.31817,                0.95957,                0.95711,                0.97244,                 0.9764,                0.73116,                0.99744,                0.41567,                  1.109,             2.5775e-05,             2.5775e-05,             2.5775e-05
